 Dato;Sykkel;Timer
 2022-07-01;B-03;2.0
 2022-07-01;B-08;5.5
 2022-07-01;B-04;3.5
 2022-07-01;B-05;5.5
 2022-07-01;B-10;3.0
 2022-07-01;B-02;2.0
 2022-07-01;B-02;2.0
 2022-07-01;B-04;2.5
 2022-07-01;B-04;5.5
 2022-07-01;B-08;5.0
 2022-07-01;B-07;3.5
 2022-07-01;B-06;3.0
 2022-07-01;B-02;5.0
 2022-07-01;B-03;3.0
 2022-07-01;B-09;4.0
 2022-07-01;B-08;3.0
 2022-07-01;B-02;4.0
 2022-07-01;B-03;2.0
 2022-07-02;B-08;4.5
 2022-07-02;B-09;2.5
 2022-07-02;B-03;3.5
 2022-07-02;B-06;5.0
 2022-07-02;B-02;2.5
 2022-07-02;B-02;4.5
 2022-07-02;B-01;5.5
 2022-07-02;B-08;2.0
 2022-07-02;B-07;2.5
 2022-07-02;B-03;4.0
 2022-07-02;B-06;3.0
 2022-07-02;B-08;3.0
 2022-07-02;B-06;3.0
 2022-07-02;B-10;2.5
 2022-07-02;B-08;3.0
 2022-07-02;B-01;4.0
 2022-07-02;B-09;2.5
 2022-07-02;B-05;5.5
 2022-07-02;B-08;3.5
 2022-07-02;B-02;4.5
 2022-07-02;B-03;3.5
 2022-07-03;B-06;2.5
 2022-07-03;B-03;4.0
 2022-07-03;B-01;4.5
 2022-07-03;B-04;4.5
 2022-07-03;B-08;4.5
 2022-07-03;B-07;3.0
 2022-07-03;B-07;5.5
 2022-07-03;B-03;2.0
 2022-07-03;B-02;4.0
 2022-07-03;B-02;3.5
 2022-07-03;B-02;2.5
 2022-07-03;B-09;4.5
 2022-07-03;B-10;4.0
 2022-07-03;B-09;2.0
 2022-07-03;B-06;3.0
 2022-07-03;B-06;4.0
 2022-07-03;B-01;5.0
 2022-07-03;B-10;3.0
 2022-07-03;B-07;3.0
 2022-07-04;B-01;3.5
 2022-07-04;B-10;5.5
 2022-07-04;B-04;5.5
 2022-07-04;B-03;2.0
 2022-07-04;B-05;2.5
 2022-07-04;B-04;4.5
 2022-07-04;B-05;3.5
 2022-07-04;B-07;5.5
 2022-07-04;B-06;4.0
 2022-07-04;B-03;4.5
 2022-07-04;B-02;4.5
 2022-07-04;B-07;5.0
 2022-07-04;B-04;5.5
 2022-07-04;B-10;5.5
 2022-07-04;B-03;3.5
 2022-07-04;B-01;5.0
 2022-07-04;B-05;4.0
 2022-07-04;B-03;2.0
 2022-07-04;B-01;2.5
 2022-07-04;B-08;3.5
 2022-07-04;B-09;4.5
 2022-07-04;B-04;2.0
 2022-07-04;B-06;3.0
 2022-07-04;B-05;5.0
 2022-07-05;B-08;4.0
 2022-07-05;B-10;4.0
 2022-07-05;B-03;3.0
 2022-07-05;B-05;5.5
 2022-07-05;B-01;3.0
 2022-07-05;B-08;3.0
 2022-07-05;B-02;2.5
 2022-07-05;B-09;5.5
 2022-07-05;B-04;3.5
 2022-07-05;B-07;5.5
 2022-07-05;B-06;2.5
 2022-07-05;B-08;5.0
 2022-07-05;B-06;5.0
 2022-07-05;B-10;2.5
 2022-07-05;B-03;3.0
 2022-07-05;B-03;5.0
 2022-07-05;B-10;3.5
 2022-07-05;B-03;5.5
 2022-07-05;B-09;2.0
 2022-07-05;B-04;4.0
 2022-07-05;B-06;5.5
 2022-07-05;B-01;3.5
 2022-07-05;B-10;2.0
 2022-07-05;B-07;2.5
